Date,Price,Open,High,Low,Vol.,Change %
04/05/2019,26825.3,27016.6,27322.8,26633.9,927.74K,-0.71%
04/08/2019,27169.7,26633.9,27208.0,26633.9,1.31M,1.28%
04/09/2019,27361.0,27169.7,27705.4,27169.7,2.62M,0.70%
04/10/2019,26940.1,27361.0,27399.3,26940.1,657.17K,-1.54%
04/11/2019,26901.8,27016.6,27169.7,26748.7,809.91K,-0.14%
04/12/2019,26595.7,26863.5,26940.1,26557.4,1.12M,-1.14%
04/16/2019,27169.7,26480.9,27246.2,26174.7,1.77M,2.16%
04/17/2019,26633.9,27169.7,27169.7,26633.9,1.07M,-1.97%
04/18/2019,26633.9,26633.9,27093.2,26519.1,1.28M,0.00%
04/19/2019,26672.2,26633.9,26940.1,26557.4,369.60K,0.14%
04/22/2019,26174.7,26672.2,26672.2,25983.4,864.62K,-1.87%
04/23/2019,26174.7,26480.9,26480.9,25983.4,1.26M,0.00%
04/24/2019,26480.9,26404.3,26633.9,26251.3,676.77K,1.17%
04/25/2019,26404.3,26480.9,26787.0,26404.3,584.35K,-0.29%
04/26/2019,26633.9,26404.3,26710.5,26404.3,608.98K,0.87%
05/02/2019,26404.3,26787.0,26787.0,26404.3,608.05K,-0.86%
05/03/2019,26174.7,26404.3,26633.9,26174.7,698.44K,-0.87%
05/06/2019,25332.9,25753.8,25945.1,25256.3,1.53M,-3.22%
05/07/2019,25332.9,25485.9,25945.1,25179.8,1.19M,0.00%
05/08/2019,24758.9,25026.7,25256.3,24758.9,1.42M,-2.27%
05/09/2019,23802.2,24988.5,25103.3,23725.6,2.44M,-3.86%
05/10/2019,24491.0,24108.3,24644.1,24031.8,1.38M,2.89%
05/13/2019,25026.7,24491.0,25103.3,24491.0,979.04K,2.19%
05/14/2019,24797.1,24835.4,24950.2,24491.0,1.37M,-0.92%
05/15/2019,25179.8,24950.2,25332.9,24720.6,1.84M,1.54%
05/16/2019,24950.2,25218.1,25256.3,24835.4,976.23K,-0.91%
05/17/2019,24605.8,25026.7,25026.7,24491.0,1.18M,-1.38%
05/20/2019,25026.7,24567.5,25179.8,24567.5,1.21M,1.71%
05/21/2019,25294.6,25026.7,25447.7,24950.2,2.16M,1.07%
05/22/2019,25409.4,25294.6,25715.5,25294.6,1.59M,0.45%
05/23/2019,25562.5,25256.3,25562.5,24950.2,1.00M,0.60%
05/24/2019,24873.7,25332.9,25447.7,24873.7,1.90M,-2.69%
05/27/2019,24950.2,24873.7,25026.7,24797.1,661.59K,0.31%
05/28/2019,24720.6,24873.7,25103.3,24605.8,1.11M,-0.92%
05/29/2019,24491.0,24720.6,24835.4,24452.7,1.13M,-0.93%
05/30/2019,24337.9,24644.1,24720.6,24337.9,844.96K,-0.63%
05/31/2019,24108.3,24223.1,24414.4,24070.0,1.15M,-0.94%
06/03/2019,23419.5,24031.8,24108.3,23419.5,1.63M,-2.86%
06/04/2019,24491.0,23419.5,24491.0,23381.2,1.09M,4.58%
06/05/2019,24031.8,24491.0,24644.1,24031.8,607.13K,-1.87%
06/06/2019,23955.2,24031.8,24261.4,23649.1,414.54K,-0.32%
06/07/2019,24261.4,23955.2,24261.4,23955.2,577.67K,1.28%
06/10/2019,24261.4,24337.9,24567.5,24261.4,593.04K,0.00%
06/11/2019,24414.4,24337.9,24491.0,24184.8,734.99K,0.63%
06/12/2019,24108.3,24261.4,24414.4,24070.0,441.84K,-1.25%
06/13/2019,24108.3,24031.8,24299.6,24031.8,363.65K,0.00%
06/14/2019,24605.8,24261.4,24682.3,24108.3,2.00M,2.06%
06/17/2019,24567.5,24644.1,24911.9,24452.7,872.48K,-0.16%
06/18/2019,24491.0,24414.4,24567.5,24261.4,344.21K,-0.31%
06/19/2019,24491.0,24797.1,24797.1,24452.7,580.83K,0.00%
